arm,seed,test_bearing,epoch,grl_coefficient,health_mse,domain_cross_entropy
source_dann,20260918,Bearing3_3,8,0.08357461541891098,0.020516246358553567,0.512156099875768
source_dann,20260918,Bearing3_3,9,0.08807966858148575,0.01636670666436354,0.5159219566980998
source_dann,20260918,Bearing3_3,10,0.09140695631504059,0.013356425811847051,0.534583428700765
source_dann,20260918,Bearing3_3,11,0.09383594244718552,0.011323086060583592,0.5716032640139261
source_dann,20260918,Bearing3_3,12,0.0955941304564476,0.00977024710426728,0.6366854763031006
source_dann,20260918,Bearing3_3,13,0.09685895591974258,0.00880330686767896,0.7223811944325765
source_dann,20260918,Bearing3_3,14,0.09776481240987778,0.008399221698443095,0.8178696219126383
source_dann,20260918,Bearing3_3,15,0.09841155260801315,0.008191855493932962,0.9112597489356995
source_dann,20260918,Bearing3_3,16,0.09887220710515976,0.007546782276282708,0.9184774661064148
source_dann,20260918,Bearing3_3,17,0.09919984638690948,0.006170171691725651,0.8465599910418192
source_dann,20260918,Bearing3_3,18,0.09943252801895142,0.004468533769249916,0.7438423856099446
source_dann,20260918,Bearing3_3,19,0.09959771484136581,0.0037219774971405666,0.6425087634722392
source_dann,20260918,Bearing3_3,20,0.09971487522125244,0.002971515292301774,0.5535362021128336
source_dann,20260918,Bearing3_3,21,0.09979795664548874,0.00253111374254028,0.48332319100697835
source_dann,20260918,Bearing3_3,22,0.09985684603452682,0.0021569205292810995,0.4429326355457306
source_dann,20260918,Bearing3_3,23,0.0998985767364502,0.002116366789365808,0.44230674664179487
source_dann,20260918,Bearing3_3,24,0.09992814064025879,0.0023208535369485615,0.4925980615615845
source_dann,20260918,Bearing3_3,25,0.09994908422231674,0.0032219964358955622,0.5883305923144022
source_dann,20260918,Bearing3_3,26,0.09996394068002701,0.0038003573659807443,0.6905871510505677
source_dann,20260918,Bearing3_3,27,0.09997444599866867,0.003321361231307189,0.8218887615203857
source_dann,20260918,Bearing3_3,28,0.09998190402984619,0.0031227706729744873,0.9388228384653727
source_dann,20260918,Bearing3_3,29,0.09998717159032822,0.002638167723392447,1.0373286175727845
source_dann,20260918,Bearing3_3,30,0.09999091923236847,0.002675396613776684,1.0727352889378865
source_only,20260921,Bearing3_1,1,0.0,0.20589543561140697,0.7280504679679871
source_only,20260921,Bearing3_1,2,0.0,0.07076785633961359,0.7250024803479512
source_only,20260921,Bearing3_1,3,0.0,0.04478120471040408,0.7008828806877136
source_only,20260921,Bearing3_1,4,0.0,0.030534182265400885,0.6564985330899556
source_only,20260921,Bearing3_1,5,0.0,0.02030589369436105,0.6084190583229065
source_only,20260921,Bearing3_1,6,0.0,0.012819700005153815,0.5539412891864777
source_only,20260921,Bearing3_1,7,0.0,0.00817464388286074,0.4990918719768524
source_only,20260921,Bearing3_1,8,0.0,0.006219514406596621,0.4501686131954193
source_only,20260921,Bearing3_1,9,0.0,0.005111425335829456,0.40546284516652426
source_only,20260921,Bearing3_1,10,0.0,0.0044389294522504015,0.36596983472506206
source_only,20260921,Bearing3_1,11,0.0,0.003981018237148722,0.32714890042940775
source_only,20260921,Bearing3_1,12,0.0,0.0036056616359079877,0.294566570520401
source_only,20260921,Bearing3_1,13,0.0,0.003310883925296366,0.2696484472354253
source_only,20260921,Bearing3_1,14,0.0,0.0030308415926992892,0.24347645541032156
source_only,20260921,Bearing3_1,15,0.0,0.002751096966676414,0.22173156837622324
source_only,20260921,Bearing3_1,16,0.0,0.0025227870062614483,0.2001633268594742
source_only,20260921,Bearing3_1,17,0.0,0.0023148002785940967,0.18318722506364188
source_only,20260921,Bearing3_1,18,0.0,0.0021299477169911068,0.16887108465035758
source_only,20260921,Bearing3_1,19,0.0,0.0019755737638721864,0.15549968878428141
source_only,20260921,Bearing3_1,20,0.0,0.0018318316883717974,0.14368001093467075
source_only,20260921,Bearing3_1,21,0.0,0.0016701237120044729,0.13298152605692545
source_only,20260921,Bearing3_1,22,0.0,0.0015331900880361598,0.12491596778233846
source_only,20260921,Bearing3_1,23,0.0,0.0014392882833878199,0.11780303021272023
source_only,20260921,Bearing3_1,24,0.0,0.001328989228544136,0.11083708326021831
source_only,20260921,Bearing3_1,25,0.0,0.0012365671068740387,0.10356343040863673
source_only,20260921,Bearing3_1,26,0.0,0.0011513378517702222,0.09928199768066406
source_only,20260921,Bearing3_1,27,0.0,0.0010674150194972753,0.09213710566361745
source_only,20260921,Bearing3_1,28,0.0,0.001005733983280758,0.0865952495733897
source_only,20260921,Bearing3_1,29,0.0,0.0009410919994115829,0.08290952811638515
source_only,20260921,Bearing3_1,30,0.0,0.0008652948495000601,0.07932731131712596
source_dann,20260921,Bearing3_1,1,0.0,0.20589543561140697,0.7280504679679871
source_dann,20260921,Bearing3_1,2,0.017072534188628197,0.07075558279951413,0.7253046894073486
source_dann,20260921,Bearing3_1,3,0.033178042620420456,0.04491809715827306,0.7030049697558085
source_dann,20260921,Bearing3_1,4,0.0475568063557148,0.03070045026640097,0.6630874927838644
source_dann,20260921,Bearing3_1,5,0.05977604538202286,0.020612268671393395,0.6252969590822856
source_dann,20260921,Bearing3_1,6,0.06973221153020859,0.013163791547218959,0.5919548590977987
source_dann,20260921,Bearing3_1,7,0.07756999880075455,0.008409057389944791,0.5714340829849243
source_dann,20260921,Bearing3_1,8,0.08357461541891098,0.006501995387176673,0.5704308589299519
source_dann,20260921,Bearing3_1,9,0.08807966858148575,0.006270355278005202,0.5834515849749248
source_dann,20260921,Bearing3_1,10,0.09140695631504059,0.006850159366925557,0.6144200611114502
source_dann,20260921,Bearing3_1,11,0.09383594244718552,0.006444870078315338,0.6781986331939698
source_dann,20260921,Bearing3_1,12,0.0955941304564476,0.007339565375198921,0.8236994560559591
source_dann,20260921,Bearing3_1,13,0.09685895591974258,0.008644206194827954,0.9320746676127116
source_dann,20260921,Bearing3_1,14,0.09776481240987778,0.006017354146266977,0.8750888442993164
source_dann,20260921,Bearing3_1,15,0.09841155260801315,0.004704524427652359,0.7912245718638102
source_dann,20260921,Bearing3_1,16,0.09887220710515976,0.0042025210956732435,0.7397954368591309
source_dann,20260921,Bearing3_1,17,0.09919984638690948,0.004275936195626855,0.7227458564440409
source_dann,20260921,Bearing3_1,18,0.09943252801895142,0.003600208293646574,0.6923690152168274
source_dann,20260921,Bearing3_1,19,0.09959771484136581,0.003421592718611161,0.6806633639335632
source_dann,20260921,Bearing3_1,20,0.09971487522125244,0.0037096982138852277,0.707385405699412
source_dann,20260921,Bearing3_1,21,0.09979795664548874,0.004739066439991196,0.8156467874844869
source_dann,20260921,Bearing3_1,22,0.09985684603452682,0.004249430978670716,0.9450220727920532
source_dann,20260921,Bearing3_1,23,0.0998985767364502,0.0045968288742005824,0.940171213944753
source_dann,20260921,Bearing3_1,24,0.09992814064025879,0.004189052258928617,0.8123762607574463
source_dann,20260921,Bearing3_1,25,0.09994908422231674,0.0035888971108943226,0.648821899096171
source_dann,20260921,Bearing3_1,26,0.09996394068002701,0.0028462373496343694,0.5510713748137156
source_dann,20260921,Bearing3_1,27,0.09997444599866867,0.002688704241688053,0.5040067271391551
source_dann,20260921,Bearing3_1,28,0.09998190402984619,0.002789905828734239,0.4777213716506958
source_dann,20260921,Bearing3_1,29,0.09998717159032822,0.002804415679226319,0.491798894405365
source_dann,20260921,Bearing3_1,30,0.09999091923236847,0.002992606746653716,0.5918029077847798
source_only,20260921,Bearing3_2,1,0.0,0.20400486916303634,0.674917012055715
source_only,20260921,Bearing3_2,2,0.0,0.05983158861597379,0.6387854027748108
source_only,20260921,Bearing3_2,3,0.0,0.0378164280205965,0.5894297258059183
source_only,20260921,Bearing3_2,4,0.0,0.024985836719473204,0.5357143958409627
source_only,20260921,Bearing3_2,5,0.0,0.01669919246186813,0.4903326646486918
source_only,20260921,Bearing3_2,6,0.0,0.011502385375400385,0.4487179203828176
source_only,20260921,Bearing3_2,7,0.0,0.008636316576351721,0.4049492617448171
source_only,20260921,Bearing3_2,8,0.0,0.006625289665535093,0.35719851930936175
source_only,20260921,Bearing3_2,9,0.0,0.0053245482717951135,0.31223141312599184
source_only,20260921,Bearing3_2,10,0.0,0.004351377664133907,0.27697548528512317
source_only,20260921,Bearing3_2,11,0.0,0.0036788171002020437,0.24465477307637531
source_only,20260921,Bearing3_2,12,0.0,0.0031125638028606773,0.2200958514213562
source_only,20260921,Bearing3_2,13,0.0,0.0027429525864621006,0.197055014471213
source_only,20260921,Bearing3_2,14,0.0,0.002400664536592861,0.17692264020442963
source_only,20260921,Bearing3_2,15,0.0,0.002168259723111987,0.1608462921778361
source_only,20260921,Bearing3_2,16,0.0,0.0019722281854289273,0.14758998652299246
source_only,20260921,Bearing3_2,17,0.0,0.0017799324332736432,0.1362431519230207
source_only,20260921,Bearing3_2,18,0.0,0.0016264937942226728,0.12545632541179658
source_only,20260921,Bearing3_2,19,0.0,0.0015113283802444736,0.11618357300758361
source_only,20260921,Bearing3_2,20,0.0,0.0013765094111052652,0.10867411494255066
source_only,20260921,Bearing3_2,21,0.0,0.0012447496286282936,0.10110476185878117
source_only,20260921,Bearing3_2,22,0.0,0.0011468144971877336,0.09533226132392883
source_only,20260921,Bearing3_2,23,0.0,0.0010871648384879033,0.09016256332397461
source_only,20260921,Bearing3_2,24,0.0,0.0010072402151611944,0.08505983864267667
source_only,20260921,Bearing3_2,25,0.0,0.0009025358265110602,0.08049634426832199
source_only,20260921,Bearing3_2,26,0.0,0.0008399814701018234,0.0763748286664486
source_only,20260921,Bearing3_2,27,0.0,0.0007733819439696769,0.0734047070890665
source_only,20260921,Bearing3_2,28,0.0,0.000720092182358106,0.07018075744311014
source_only,20260921,Bearing3_2,29,0.0,0.0006687251455150544,0.06756644864877065
source_only,20260921,Bearing3_2,30,0.0,0.0006217531068250536,0.0650739020605882
source_dann,20260921,Bearing3_2,1,0.0,0.20400486916303634,0.674917012055715
source_dann,20260921,Bearing3_2,2,0.017072534188628197,0.059863841086626055,0.6394132653872172
source_dann,20260921,Bearing3_2,3,0.033178042620420456,0.03796125044425329,0.5944486006100973
source_dann,20260921,Bearing3_2,4,0.0475568063557148,0.024821241597334544,0.5519746239980062
source_dann,20260921,Bearing3_2,5,0.05977604538202286,0.016539353765547275,0.5305965765317281
source_dann,20260921,Bearing3_2,6,0.06973221153020859,0.011608348780622085,0.5305646316210428
source_dann,20260921,Bearing3_2,7,0.07756999880075455,0.009437426285197337,0.5576052459081015
source_dann,20260921,Bearing3_2,8,0.08357461541891098,0.007969289055715005,0.6078285336494446
source_dann,20260921,Bearing3_2,9,0.08807966858148575,0.007846916814645132,0.6731469130516052
source_dann,20260921,Bearing3_2,10,0.09140695631504059,0.007917245868593454,0.6530912518501282
source_dann,20260921,Bearing3_2,11,0.09383594244718552,0.005603934045260151,0.61017298301061
source_dann,20260921,Bearing3_2,12,0.0955941304564476,0.00532827355278035,0.6636193275451661
source_dann,20260921,Bearing3_2,13,0.09685895591974258,0.008357610227540136,0.8731777127583822
source_dann,20260921,Bearing3_2,14,0.09776481240987778,0.007360072315980991,1.079197211265564
source_dann,20260921,Bearing3_2,15,0.09841155260801315,0.006761355120688677,1.153459326426188
source_dann,20260921,Bearing3_2,16,0.09887220710515976,0.00568262053343157,1.01993288119634
source_dann,20260921,Bearing3_2,17,0.09919984638690948,0.004404762539391717,0.8503548789024353
source_dann,20260921,Bearing3_2,18,0.09943252801895142,0.0034963680493334927,0.710276841322581
source_dann,20260921,Bearing3_2,19,0.09959771484136581,0.0029643168797095615,0.6054873665173849
source_dann,20260921,Bearing3_2,20,0.09971487522125244,0.0026938213858132562,0.5350241752465567
source_dann,20260921,Bearing3_2,21,0.09979795664548874,0.0025062651963283617,0.4993137224515279
source_dann,20260921,Bearing3_2,22,0.09985684603452682,0.00231406107544899,0.4991243497530619
source_dann,20260921,Bearing3_2,23,0.0998985767364502,0.0024369521128634612,0.5636511691411337
source_dann,20260921,Bearing3_2,24,0.09992814064025879,0.0021531619061715902,0.7024457772572835
source_dann,20260921,Bearing3_2,25,0.09994908422231674,0.002219834034331143,0.8759287277857463
source_dann,20260921,Bearing3_2,26,0.09996394068002701,0.003865536373729507,1.022993777592977
source_dann,20260921,Bearing3_2,27,0.09997444599866867,0.0038744752233227093,0.9954198463757833
source_dann,20260921,Bearing3_2,28,0.09998190402984619,0.003315164381638169,0.8139441196123759
source_dann,20260921,Bearing3_2,29,0.09998717159032822,0.0027185816038399935,0.6105520288149516
source_dann,20260921,Bearing3_2,30,0.09999091923236847,0.0022370275699843964,0.47838470021883645
source_only,20260921,Bearing3_3,1,0.0,0.27306961556275683,0.6369135967890421
source_only,20260921,Bearing3_3,2,0.0,0.0746592624982198,0.5871068596839905
source_only,20260921,Bearing3_3,3,0.0,0.049702880084514615,0.5313288402557373
source_only,20260921,Bearing3_3,4,0.0,0.029134034315745037,0.49561708768208823
source_only,20260921,Bearing3_3,5,0.0,0.022089755727599063,0.4593245780467987
source_only,20260921,Bearing3_3,6,0.0,0.016834203582257033,0.4086666921774546
source_only,20260921,Bearing3_3,7,0.0,0.012946782677123944,0.3540541891256968
source_only,20260921,Bearing3_3,8,0.0,0.009989447041104237,0.30307959695657094
source_only,20260921,Bearing3_3,9,0.0,0.007813471965491772,0.2547300918896993
source_only,20260921,Bearing3_3,10,0.0,0.00612492852533857,0.2185008454322815
source_only,20260921,Bearing3_3,11,0.0,0.00482408515488108,0.18821697175502777
source_only,20260921,Bearing3_3,12,0.0,0.0038886434212327004,0.16414918502171835
source_only,20260921,Bearing3_3,13,0.0,0.0032772550809507567,0.14260460118452709
source_only,20260921,Bearing3_3,14,0.0,0.0028447673252473276,0.12386277168989182
source_only,20260921,Bearing3_3,15,0.0,0.0025416902049134175,0.10995112111171086
source_only,20260921,Bearing3_3,16,0.0,0.0022777470077077547,0.09914331366618474
source_only,20260921,Bearing3_3,17,0.0,0.0020355700623864927,0.09008350600798924
source_only,20260921,Bearing3_3,18,0.0,0.0018725284747779368,0.08049850662549336
source_only,20260921,Bearing3_3,19,0.0,0.0016818004210169117,0.07230034202337265
source_only,20260921,Bearing3_3,20,0.0,0.0015552125195972622,0.06606797441840172
source_only,20260921,Bearing3_3,21,0.0,0.0014377055627604325,0.06017113228638967
source_only,20260921,Bearing3_3,22,0.0,0.0013618053829607863,0.05529621968666713
source_only,20260921,Bearing3_3,23,0.0,0.0012583522389953334,0.051518734395504
source_only,20260921,Bearing3_3,24,0.0,0.0011756983562372625,0.047072132925192516
source_only,20260921,Bearing3_3,25,0.0,0.001141265178254495,0.043811933000882465
source_only,20260921,Bearing3_3,26,0.0,0.0010388197315235933,0.04026972413063049
source_only,20260921,Bearing3_3,27,0.0,0.0009728094733630618,0.03732452789942423
source_only,20260921,Bearing3_3,28,0.0,0.0009133827220648527,0.035035756776730216
source_only,20260921,Bearing3_3,29,0.0,0.0008621200205137333,0.03243568554520607
source_only,20260921,Bearing3_3,30,0.0,0.0008131268713623285,0.030565195182959238
source_dann,20260921,Bearing3_3,1,0.0,0.27306961556275683,0.6369135967890421
source_dann,20260921,Bearing3_3,2,0.017072534188628197,0.0746719008187453,0.5877374331156413
source_dann,20260921,Bearing3_3,3,0.033178042620420456,0.049592216561237974,0.5369032390912374
source_dann,20260921,Bearing3_3,4,0.0475568063557148,0.029232184886932373,0.5173563567797342
source_dann,20260921,Bearing3_3,5,0.05977604538202286,0.022697776692608994,0.5191912607351938
source_dann,20260921,Bearing3_3,6,0.06973221153020859,0.017579044916977486,0.5485979930559794
source_dann,20260921,Bearing3_3,7,0.07756999880075455,0.013861473637322584,0.6516148638725281
source_dann,20260921,Bearing3_3,8,0.08357461541891098,0.01226662954936425,0.85550355275472
source_dann,20260921,Bearing3_3,9,0.08807966858148575,0.012603804568449657,1.0312794208526612
source_dann,20260921,Bearing3_3,10,0.09140695631504059,0.012024404890835285,1.0752620108922322
source_dann,20260921,Bearing3_3,11,0.09383594244718552,0.009352287904669842,1.0085456951459248
source_dann,20260921,Bearing3_3,12,0.0955941304564476,0.0074994250169644755,0.9105787340799968
source_dann,20260921,Bearing3_3,13,0.09685895591974258,0.005912500033931186,0.8136386148134868
source_dann,20260921,Bearing3_3,14,0.09776481240987778,0.004455467164516449,0.7283699154853821
source_dann,20260921,Bearing3_3,15,0.09841155260801315,0.0034655497067918382,0.6571691346168518
source_dann,20260921,Bearing3_3,16,0.09887220710515976,0.0027546115095416703,0.5921769467989604
source_dann,20260921,Bearing3_3,17,0.09919984638690948,0.0025857218417028585,0.5417380023002625
source_dann,20260921,Bearing3_3,18,0.09943252801895142,0.0028871379295984903,0.5111409751574199
source_dann,20260921,Bearing3_3,19,0.09959771484136581,0.002360835784735779,0.4900133923689524
source_dann,20260921,Bearing3_3,20,0.09971487522125244,0.0025911162064100306,0.48944122274716695
source_dann,20260921,Bearing3_3,21,0.09979795664548874,0.002938408845414718,0.5075255926450094
source_dann,20260921,Bearing3_3,22,0.09985684603452682,0.0038500916305929424,0.5843367155392964
source_dann,20260921,Bearing3_3,23,0.0998985767364502,0.00522984990850091,0.6969730099042256
source_dann,20260921,Bearing3_3,24,0.09992814064025879,0.0038712939309577146,0.8242771752675374
source_dann,20260921,Bearing3_3,25,0.09994908422231674,0.004000273756682873,0.9197701724370321
source_dann,20260921,Bearing3_3,26,0.09996394068002701,0.00335152555257082,0.9360543855031331
source_dann,20260921,Bearing3_3,27,0.09997444599866867,0.004328507756193479,0.8355043888092041
source_dann,20260921,Bearing3_3,28,0.09998190402984619,0.0024669293562571207,0.6630761726697286
source_dann,20260921,Bearing3_3,29,0.09998717159032822,0.002483691768720746,0.5352338397502899
source_dann,20260921,Bearing3_3,30,0.09999091923236847,0.002037936203802625,0.4428041394551595
source_only,20260924,Bearing3_1,1,0.0,0.40195581793785096,0.6825578633944194
source_only,20260924,Bearing3_1,2,0.0,0.23038619359334309,0.6838630938529968
source_only,20260924,Bearing3_1,3,0.0,0.1571529883146286,0.6716188247998556
source_only,20260924,Bearing3_1,4,0.0,0.10513270268837611,0.6548273865381876
source_only,20260924,Bearing3_1,5,0.0,0.07708284854888917,0.6402723288536072
source_only,20260924,Bearing3_1,6,0.0,0.060776808833082514,0.6245465842882792
source_only,20260924,Bearing3_1,7,0.0,0.05126083965102832,0.597400209903717
source_only,20260924,Bearing3_1,8,0.0,0.04403001440068086,0.5606606396039328
source_only,20260924,Bearing3_1,9,0.0,0.037635175238053,0.515812240044276
source_only,20260924,Bearing3_1,10,0.0,0.031439721609155334,0.47088995297749836
source_only,20260924,Bearing3_1,11,0.0,0.02535771278043588,0.4295062112808228
source_only,20260924,Bearing3_1,12,0.0,0.020226120470712584,0.39545571446418765
source_only,20260924,Bearing3_1,13,0.0,0.016241125787297885,0.36356327136357625
source_only,20260924,Bearing3_1,14,0.0,0.012506450513998667,0.3357973631223043
source_only,20260924,Bearing3_1,15,0.0,0.009817357038458189,0.31212829271952314
source_only,20260924,Bearing3_1,16,0.0,0.006866489325960477,0.2923720250527064
source_only,20260924,Bearing3_1,17,0.0,0.005056682197997968,0.2740615143378576
source_only,20260924,Bearing3_1,18,0.0,0.003825657529135545,0.2552687968810399
source_only,20260924,Bearing3_1,19,0.0,0.0029147137173761925,0.2361501274506251
source_only,20260924,Bearing3_1,20,0.0,0.0024284924489135543,0.21579117516676585
source_only,20260924,Bearing3_1,21,0.0,0.0021287742117419837,0.19821183145046234
source_only,20260924,Bearing3_1,22,0.0,0.0018455094378441571,0.1817954882979393
source_only,20260924,Bearing3_1,23,0.0,0.0016598857489104073,0.16885326196750006
source_only,20260924,Bearing3_1,24,0.0,0.0015065693917373816,0.15900856733322144
source_only,20260924,Bearing3_1,25,0.0,0.0014162616967223584,0.15335849051674208
source_only,20260924,Bearing3_1,26,0.0,0.0012565998981396358,0.14326109995444616
source_only,20260924,Bearing3_1,27,0.0,0.0011701790367563566,0.13773968577384949
source_only,20260924,Bearing3_1,28,0.0,0.0010918676185732086,0.13194640686114628
source_only,20260924,Bearing3_1,29,0.0,0.000989407094505926,0.12769332985083262
source_only,20260924,Bearing3_1,30,0.0,0.0009030798946817716,0.12281647677222887
source_dann,20260924,Bearing3_1,1,0.0,0.40195581793785096,0.6825578633944194
source_dann,20260924,Bearing3_1,2,0.017072534188628197,0.23043862024943035,0.6839679082234701
source_dann,20260924,Bearing3_1,3,0.033178042620420456,0.15734268327554066,0.6722908902168274
source_dann,20260924,Bearing3_1,4,0.0475568063557148,0.10544382125139236,0.6568657819430034
source_dann,20260924,Bearing3_1,5,0.05977604538202286,0.07762456839283308,0.6460308909416199
source_dann,20260924,Bearing3_1,6,0.06973221153020859,0.061736575191219646,0.6398096394538879
source_dann,20260924,Bearing3_1,7,0.07756999880075455,0.05298305556178093,0.631759668191274
source_dann,20260924,Bearing3_1,8,0.08357461541891098,0.04661082463959853,0.6247342960039775
source_dann,20260924,Bearing3_1,9,0.08807966858148575,0.04082600459456444,0.624839322566986
source_dann,20260924,Bearing3_1,10,0.09140695631504059,0.03509103848909338,0.6361868079503378
